Date,Close,High,Low,Open,Volume
2021-03-23,364.7798462,368.4885113,363.9931614,367.0368957,90686600
2021-03-24,362.9255371,367.8236188,362.8787219,366.1846847,97588600
2021-03-25,364.9671936,365.7632244,359.535281,361.4832871,116128600
2021-03-26,370.8486023,371.2513049,365.5197236,366.1190902,114409100
2021-03-29,370.6612244,371.569663,367.8797188,369.3688036,108107600
2021-03-30,369.677948,370.3522534,368.0764548,369.3876248,76262200
2021-03-31,371.1763916,372.7404155,370.2211375,370.2492324,112734200
2021-04-01,375.1847229,375.2409412,372.908953,373.1149916,99682900
2021-04-05,380.5698242,381.1130298,377.7789721,377.8538822,91684800
2021-04-06,380.3450623,381.3939754,379.6707568,380.0079238,62021000
2021-04-07,380.7851868,381.1316996,379.7175533,380.1764457,55836300
2021-04-08,382.5927734,382.6489632,381.1036881,382.0402219,57863100
2021-04-09,385.3742065,385.5428043,382.3492213,382.4709752,61104600
2021-04-12,385.51474,385.7863142,384.1661292,384.7748704,56704900
2021-04-13,386.6572876,387.2847777,385.0277281,385.4117104,56551000
2021-04-14,385.336792,387.6874721,384.7935865,386.6291845,61659900
2021-04-15,389.4763184,389.7479212,387.4346815,387.4814967,60229800
2021-04-16,390.7780762,391.3868174,389.3451807,390.7687017,82037300
2021-04-19,388.8582153,390.291111,387.5283533,389.841593,78498500
2021-04-20,386.0111084,388.7457708,384.5313691,387.6406679,81851800
2021-04-21,389.6635742,389.8696128,385.25248,385.3929829,66793000
2021-04-22,386.1047363,390.3285124,385.0371028,389.4950123,97582800
2021-04-23,390.2910461,391.7052212,386.5917552,386.6666653,73209200
2021-04-26,391.1058655,391.677166,390.3566499,390.9466707,52182400
2021-04-27,391.0215454,391.6022203,389.8789731,391.4055277,51303100
2021-04-28,390.9091492,392.4169832,390.4408823,391.2931314,51238900
2021-04-29,393.4003296,394.0184452,390.0100823,393.6438375,78544300
2021-04-30,390.8154907,391.9768119,389.9164264,391.1245628,85527000
2021-05-03,391.6584473,393.1943478,391.1620855,392.8103655,68128300
2021-05-04,389.242157,390.1599704,385.5428658,389.6636086,101591200
2021-05-05,389.3638916,391.1245796,388.8019657,390.8904461,60162200
2021-05-06,392.473175,392.6042749,387.4252448,389.4387865,74321400
2021-05-07,395.3296509,395.985236,392.5575188,393.2411988,67733800
2021-05-10,391.414917,395.9102676,391.293163,395.6855086,81852400
2021-05-11,387.9215698,388.9142931,384.0349611,386.8820313,116888000
2021-05-12,379.6801758,386.4044817,378.3596597,385.1308094,134811000
2021-05-13,384.2409973,386.1796287,381.1878887,381.2347325,106394000
2021-05-14,390.1412048,390.9934539,386.9569959,386.9850908,82201600
2021-05-17,389.1485291,389.9633375,387.1256125,389.0268037,65129200
2021-05-18,385.7956848,389.654199,385.6364615,389.4106911,59810200
2021-05-19,384.7842102,384.9621539,379.6051801,381.0942938,106467100
2021-05-20,388.9236145,390.1879404,385.5427424,385.6644678,78022200
2021-05-21,388.6052246,391.6583331,388.1463323,390.4127275,76578700
2021-05-24,392.5667725,393.6437803,390.6093922,390.8529001,51376700
2021-05-25,391.6958618,394.0091013,391.1152155,393.6532139,57451400
2021-05-26,392.473175,392.9788827,391.2463182,392.2858569,43088600
2021-05-27,392.6792297,394.0184661,392.3982525,393.503384,56707700
2021-05-28,393.3816223,394.5148201,393.1474889,394.2525918,58520200
2021-06-01,393.0350647,395.8914807,392.5948928,395.7510064,54216600
2021-06-02,393.6531677,394.4960709,392.6791933,393.6906371,49097100
2021-06-03,392.1921387,393.3347107,389.8601793,391.3305438,58138800
2021-06-04,395.7791138,396.0788114,392.2577382,394.0465209,55938800
2021-06-07,395.3951416,395.947693,394.458608,395.7697493,51555000
2021-06-08,395.4794312,396.3504006,393.6438332,396.2567415,47134300
